ID	Driver1	Driver2	PosDriver1	PosDriver2	QualiDriver1	QualiDriver2
2000-Australian Grand Prix-Arrows	Jos Verstappen	Pedro de la Rosa	2	-2	-0.154	0.154
2000-Australian Grand Prix-Arrows	Jos Verstappen		-18	18	-1.921	1.921
2000-Australian Grand Prix-BAR	Jacques Villeneuve	Ricardo Zonta	2	-2	1.149	-1.149
2000-Australian Grand Prix-Benneton	Giancarlo Fisichella	Alexander Wurz	2	-2	0.783	-0.783
2000-Australian Grand Prix-Ferrari	Michael Schumacher	Rubens Barrichello	1	-1	0.027	-0.027
2000-Australian Grand Prix-Jaguar	Eddie Irvine	Johnny Herbert	1	-1	2.124	-2.124
2000-Australian Grand Prix-Jordan	Heinz-Harald Frentzen	Jarno Trulli	1	-1	0.145	-0.145
2000-Australian Grand Prix-McLaren	Mika Hakkinen	David Coulthard	2	-2	0.354	-0.354
2000-Australian Grand Prix-Minardi	Marc Gene	Gaston Mazzacane	5	-5	1.444	-1.444
2000-Australian Grand Prix-Prost	Nick Heidfeld	Jean Alesi	7	-7	0.173	-0.173
2000-Australian Grand Prix-Sauber	Mika Salo	Pedro Diniz	2	-2	1.36	-1.36
2000-Australian Grand Prix-Williams	Ralf Schumacher	Jenson Button	8	-8	1.608	-1.608
2000-Austrian Grand Prix-Arrows	Pedro de la Rosa	Jos Verstappen	1	-1	-0.073	0.073
2000-Austrian Grand Prix-BAR	Jacques Villeneuve	Ricardo Zonta	9	-9	-0.002	0.002
2000-Austrian Grand Prix-Benneton	Alexander Wurz	Giancarlo Fisichella	12	-12	-0.38	0.38
2000-Austrian Grand Prix-Ferrari	Rubens Barrichello	Michael Schumacher	17	-17	0.202	-0.202
2000-Austrian Grand Prix-Jaguar	Johnny Herbert	Luciano Burti	4	-4	0.584	-0.584
2000-Austrian Grand Prix-Jordan	Heinz-Harald Frentzen	Jarno Trulli	2	-2	-0.403	0.403
2000-Austrian Grand Prix-McLaren	Mika Hakkinen	David Coulthard	1	-1	0.385	-0.385
2000-Austrian Grand Prix-Minardi	Marc Gene	Gaston Mazzacane	4	-4	0.697	-0.697
2000-Austrian Grand Prix-Prost	Nick Heidfeld	Jean Alesi	1	-1	0.267	-0.267
2000-Austrian Grand Prix-Sauber	Mika Salo	Pedro Diniz	3	-3	0.17	-0.17
2000-Austrian Grand Prix-Williams	Jenson Button	Ralf Schumacher	9	-9	0.01	-0.01
2000-Belgian Grand Prix-Arrows	Jos Verstappen	Pedro de la Rosa	1	-1	-0.675	0.675
2000-Belgian Grand Prix-BAR	Jacques Villeneuve	Ricardo Zonta	5	-5	1.203	-1.203
2000-Belgian Grand Prix-Benneton	Alexander Wurz	Giancarlo Fisichella	8	-8	-0.647	0.647
2000-Belgian Grand Prix-Ferrari	Michael Schumacher	Rubens Barrichello	16	-16	0.892	-0.892
2000-Belgian Grand Prix-Jaguar	Johnny Herbert	Eddie Irvine	2	-2	0.643	-0.643
2000-Belgian Grand Prix-Jordan	Heinz-Harald Frentzen	Jarno Trulli	16	-16	-0.507	0.507
2000-Belgian Grand Prix-McLaren	Mika Hakkinen	David Coulthard	3	-3	0.941	-0.941
2000-Belgian Grand Prix-Minardi	Marc Gene	Gaston Mazzacane	3	-3	0.104	-0.104
2000-Belgian Grand Prix-Prost	Jean Alesi	Nick Heidfeld	1	-1	-0.116	0.116
2000-Belgian Grand Prix-Sauber	Mika Salo	Pedro Diniz	2	-2	-0.146	0.146
2000-Belgian Grand Prix-Williams	Ralf Schumacher	Jenson Button	2	-2	-0.299	0.299
2000-Brazilian Grand Prix-Arrows	Jos Verstappen	Pedro de la Rosa	1	-1	0.298	-0.298
2000-Brazilian Grand Prix-BAR	Ricardo Zonta	Jacques Villeneuve	8	-8	0.031	-0.031
2000-Brazilian Grand Prix-Benneton	Giancarlo Fisichella	Alexander Wurz	18	-18	0.289	-0.289
2000-Brazilian Grand Prix-Ferrari	Michael Schumacher	Rubens Barrichello	14	-14	0.128	-0.128
2000-Brazilian Grand Prix-Jaguar	Johnny Herbert	Eddie Irvine	4	-4	-0.825	0.825
2000-Brazilian Grand Prix-Jordan	Heinz-Harald Frentzen	Jarno Trulli	1	-1	0.172	-0.172
2000-Brazilian Grand Prix-McLaren	David Coulthard	Mika Hakkinen	3	-3	-0.174	0.174
2000-Brazilian Grand Prix-Minardi	Gaston Mazzacane	Marc Gene	3	-3	-1.132	1.132
2000-Brazilian Grand Prix-Prost	Jean Alesi	Nick Heidfeld	1	-1	1.397	-1.397
2000-Brazilian Grand Prix-Sauber	Pedro Diniz	Mika Salo	1	-1	1.525	-1.525
2000-Brazilian Grand Prix-Williams	Ralf Schumacher	Jenson Button	1	-1	-0.071	0.071
2000-British Grand Prix-Arrows	Pedro de la Rosa	Jos Verstappen	1	-1	-1.342	1.342
2000-British Grand Prix-BAR	Jacques Villeneuve	Ricardo Zonta	3	-3	0.747	-0.747
2000-British Grand Prix-Benneton	Giancarlo Fisichella	Alexander Wurz	2	-2	0.952	-0.952
2000-British Grand Prix-Ferrari	Michael Schumacher	Rubens Barrichello	17	-17	-0.458	0.458
2000-British Grand Prix-Jaguar	Johnny Herbert	Eddie Irvine	1	-1	-0.643	0.643
2000-British Grand Prix-Jordan	Jarno Trulli	Heinz-Harald Frentzen	11	-11	-1.458	1.458
2000-British Grand Prix-McLaren	David Coulthard	Mika Hakkinen	1	-1	-0.347	0.347
2000-British Grand Prix-Minardi	Marc Gene	Gaston Mazzacane	1	-1	0.921	-0.921
2000-British Grand Prix-Prost	Jean Alesi	Nick Heidfeld	8	-8	0.247	-0.247
2000-British Grand Prix-Sauber	Mika Salo	Pedro Diniz	3	-3	-0.809	0.809
