ID	Driver	RelativePos	Relative_CP
2000-Arrows	Jos Verstappen	4	3.0
2000-Arrows	Pedro de la Rosa	-4	-3.0
2000-BAR	Jacques Villeneuve	7	14.0
2000-BAR	Ricardo Zonta	-7	-14.0
2000-Benneton	Giancarlo Fisichella	9	16.0
2000-Benneton	Alexander Wurz	-9	-16.0
2000-Ferrari	Michael Schumacher	3	46.0
2000-Ferrari	Rubens Barrichello	-3	-46.0
2000-Jaguar	Eddie Irvine	4	4.0
2000-Jaguar	Johnny Herbert	-4	-4.0
2000-Jordan	Heinz-Harald Frentzen	1	5.0
2000-Jordan	Jarno Trulli	-1	-5.0
2000-McLaren	Mika Hakkinen	1	16.0
2000-McLaren	David Coulthard	-1	-16.0
2000-Minardi	Marc Gene	2	0.0
2000-Minardi	Gaston Mazzacane	-2	0.0
2000-Prost	Nick Heidfeld	2	0.0
2000-Prost	Jean Alesi	-2	0.0
2000-Sauber	Mika Salo	7	6.0
2000-Sauber	Pedro Diniz	-7	-6.0
2000-Williams	Ralf Schumacher	3	12.0
2000-Williams	Jenson Button	-3	-12.0
2001-Arrows	Jos Verstappen	3	1.0
2001-Arrows	Enrique Bernoldi	-3	-1.0
2001-BAR	Jacques Villeneuve	7	7.0
2001-BAR	Olivier Panis	-7	-7.0
2001-Benneton	Giancarlo Fisichella	6	6.0
2001-Benneton	Jenson Button	-6	-6.0
2001-Ferrari	Michael Schumacher	2	67.0
2001-Ferrari	Rubens Barrichello	-2	-67.0
2001-Jaguar	Eddie Irvine	4	3.0
2001-Jaguar	Pedro de la Rosa	-4	-3.0
2001-Jordan	Jarno Trulli	4	6.0
2001-Jordan	Heinz-Harald Frentzen	-4	-6.0
2001-McLaren	David Coulthard	3	28.0
2001-McLaren	Mika Hakkinen	-3	-28.0
2001-Minardi	Tarso Marques	1	0.0
2001-Minardi	Fernando Alonso	-1	0.0
2001-Prost	Jean Alesi	10	5.0
2001-Prost	Gaston Mazzacane	-10	-5.0
2001-Sauber	Nick Heidfeld	2	3.0
2001-Sauber	Kimi R<e4>ikk<f6>nen	-2	-3.0
2001-Williams	Ralf Schumacher	2	18.0
2001-Williams	Juan Pablo Montoya	-2	-18.0
2002-Arrows	Heinz-Harald Frentzen	4	2.0
2002-Arrows	Enrique Bernoldi	-4	-2.0
2002-BAR	Jacques Villeneuve	2	1.0
2002-BAR	Olivier Panis	-2	-1.0
2002-Ferrari	Michael Schumacher	1	67.0
2002-Ferrari	Rubens Barrichello	-1	-67.0
2002-Jaguar	Eddie Irvine	12	8.0
2002-Jaguar	Pedro de la Rosa	-12	-8.0
2002-Jordan	Giancarlo Fisichella	4	5.0
2002-Jordan	Takuma Sato	-4	-5.0
2002-McLaren	David Coulthard	1	17.0
2002-McLaren	Kimi R<e4>ikk<f6>nen	-1	-17.0
2002-Minardi	Mark Webber	4	2.0
2002-Minardi	Alex Yoong	-4	-2.0
2002-Renault	Jenson Button	1	5.0
2002-Renault	Jarno Trulli	-1	-5.0
2002-Sauber	Nick Heidfeld	3	3.0
2002-Sauber	Felipe Massa	-3	-3.0
2002-Toyota	Mika Salo	2	2.0
2002-Toyota	Allan McNish	-2	-2.0
2002-Williams	Juan Pablo Montoya	1	8.0
2002-Williams	Ralf Schumacher	-1	-8.0
2003-BAR	Jenson Button	7	11.0
2003-BAR	Jacques Villeneuve	-7	-11.0
2003-Ferrari	Michael Schumacher	3	28.0
2003-Ferrari	Rubens Barrichello	-3	-28.0
2003-Jaguar	Mark Webber	10	16.0
2003-Jaguar	Justin Wilson	-10	-16.0
2003-Jordan	Giancarlo Fisichella	7	11.0
2003-Jordan	Ralph Firman	-7	-11.0
2003-McLaren	Kimi R<e4>ikk<f6>nen	5	40.0
2003-McLaren	David Coulthard	-5	-40.0
