ID	Driver	RelativePos	RelativeQuali
2000-Australian Grand Prix-Arrows	Jos Verstappen	2	-0.154
2000-Australian Grand Prix-Arrows	Pedro de la Rosa	-2	0.154
2000-Australian Grand Prix-BAR	Jacques Villeneuve	2	1.149
2000-Australian Grand Prix-BAR	Ricardo Zonta	-2	-1.149
2000-Australian Grand Prix-Benneton	Giancarlo Fisichella	2	0.783
2000-Australian Grand Prix-Benneton	Alexander Wurz	-2	-0.783
2000-Australian Grand Prix-Ferrari	Michael Schumacher	1	0.027
2000-Australian Grand Prix-Ferrari	Rubens Barrichello	-1	-0.027
2000-Australian Grand Prix-Jaguar	Eddie Irvine	1	2.124
2000-Australian Grand Prix-Jaguar	Johnny Herbert	-1	-2.124
2000-Australian Grand Prix-Jordan	Heinz-Harald Frentzen	1	0.145
2000-Australian Grand Prix-Jordan	Jarno Trulli	-1	-0.145
2000-Australian Grand Prix-McLaren	Mika Hakkinen	2	0.354
2000-Australian Grand Prix-McLaren	David Coulthard	-2	-0.354
2000-Australian Grand Prix-Minardi	Marc Gene	5	1.444
2000-Australian Grand Prix-Minardi	Gaston Mazzacane	-5	-1.444
2000-Australian Grand Prix-Prost	Nick Heidfeld	7	0.173
2000-Australian Grand Prix-Prost	Jean Alesi	-7	-0.173
2000-Australian Grand Prix-Sauber	Mika Salo	2	1.36
2000-Australian Grand Prix-Sauber	Pedro Diniz	-2	-1.36
2000-Australian Grand Prix-Williams	Ralf Schumacher	8	1.608
2000-Australian Grand Prix-Williams	Jenson Button	-8	-1.608
2000-Austrian Grand Prix-Arrows	Pedro de la Rosa	1	-0.073
2000-Austrian Grand Prix-Arrows	Jos Verstappen	-1	0.073
2000-Austrian Grand Prix-BAR	Jacques Villeneuve	9	-0.002
2000-Austrian Grand Prix-BAR	Ricardo Zonta	-9	0.002
2000-Austrian Grand Prix-Benneton	Alexander Wurz	12	-0.38
2000-Austrian Grand Prix-Benneton	Giancarlo Fisichella	-12	0.38
2000-Austrian Grand Prix-Ferrari	Rubens Barrichello	17	0.202
2000-Austrian Grand Prix-Ferrari	Michael Schumacher	-17	-0.202
2000-Austrian Grand Prix-Jaguar	Johnny Herbert	4	0.584
2000-Austrian Grand Prix-Jaguar	Luciano Burti	-4	-0.584
2000-Austrian Grand Prix-Jordan	Heinz-Harald Frentzen	2	-0.403
2000-Austrian Grand Prix-Jordan	Jarno Trulli	-2	0.403
2000-Austrian Grand Prix-McLaren	Mika Hakkinen	1	0.385
2000-Austrian Grand Prix-McLaren	David Coulthard	-1	-0.385
2000-Austrian Grand Prix-Minardi	Marc Gene	4	0.697
2000-Austrian Grand Prix-Minardi	Gaston Mazzacane	-4	-0.697
2000-Austrian Grand Prix-Prost	Nick Heidfeld	1	0.267
2000-Austrian Grand Prix-Prost	Jean Alesi	-1	-0.267
2000-Austrian Grand Prix-Sauber	Mika Salo	3	0.17
2000-Austrian Grand Prix-Sauber	Pedro Diniz	-3	-0.17
2000-Austrian Grand Prix-Williams	Jenson Button	9	0.01
2000-Austrian Grand Prix-Williams	Ralf Schumacher	-9	-0.01
2000-Belgian Grand Prix-Arrows	Jos Verstappen	1	-0.675
2000-Belgian Grand Prix-Arrows	Pedro de la Rosa	-1	0.675
2000-Belgian Grand Prix-BAR	Jacques Villeneuve	5	1.203
2000-Belgian Grand Prix-BAR	Ricardo Zonta	-5	-1.203
2000-Belgian Grand Prix-Benneton	Alexander Wurz	8	-0.647
2000-Belgian Grand Prix-Benneton	Giancarlo Fisichella	-8	0.647
2000-Belgian Grand Prix-Ferrari	Michael Schumacher	16	0.892
2000-Belgian Grand Prix-Ferrari	Rubens Barrichello	-16	-0.892
2000-Belgian Grand Prix-Jaguar	Johnny Herbert	2	0.643
2000-Belgian Grand Prix-Jaguar	Eddie Irvine	-2	-0.643
2000-Belgian Grand Prix-Jordan	Heinz-Harald Frentzen	16	-0.507
2000-Belgian Grand Prix-Jordan	Jarno Trulli	-16	0.507
2000-Belgian Grand Prix-McLaren	Mika Hakkinen	3	0.941
2000-Belgian Grand Prix-McLaren	David Coulthard	-3	-0.941
2000-Belgian Grand Prix-Minardi	Marc Gene	3	0.104
2000-Belgian Grand Prix-Minardi	Gaston Mazzacane	-3	-0.104
2000-Belgian Grand Prix-Prost	Jean Alesi	1	-0.116
2000-Belgian Grand Prix-Prost	Nick Heidfeld	-1	0.116
2000-Belgian Grand Prix-Sauber	Mika Salo	2	-0.146
2000-Belgian Grand Prix-Sauber	Pedro Diniz	-2	0.146
2000-Belgian Grand Prix-Williams	Ralf Schumacher	2	-0.299
